"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"41","collision",2019-01-03,2020-06-01 22:50:00,"vyborg",2,4,2,1,"part_closed",30.380341,60.052556,"local","unknown","unknown"
"42","pedestrian_hit",2019-01-04,2020-06-01 09:23:00,"mosk",1,2,0,1,"open",30.306644,59.843651,"local","dirty","clouds"
"43","collision",2019-01-04,2020-06-01 18:00:00,"vyborg",2,3,0,1,"part_closed",30.252174,60.098991,"local","snow","unknown"
"44","pedestrian_hit",2019-01-04,2020-06-01 18:50:00,"pushkin",2,4,0,4,"part_closed",30.399224,59.778544,"local","snow","snow"
"45","pedestrian_hit",2019-01-04,2020-06-01 20:05:00,"frunz",1,2,0,1,"open",30.380352,59.871208,"local","snow","unknown"
"46","collision",2019-01-04,2020-06-01 20:10:00,"frunz",2,3,0,1,"open",30.372359,59.878639,"local","unknown","snow"
"47","hit_run",2019-01-04,2020-06-01 20:40:00,"kalin",2,2,0,1,"part_closed",30.380641,60.033243,"local","snow","clouds"
"48","obstacle_hit",2019-01-04,2020-06-01 20:45:00,"krasnosel",1,2,0,1,"open",30.193595,59.845909,"local","snow","clear"
"49","collision",2019-01-04,2020-06-01 20:50:00,"pushkin",3,3,0,1,"part_closed",30.562795,59.712876,"local","snow","snow"
"50","hit_run",2019-01-04,2020-06-01 21:23:00,"pushkin",2,3,0,1,"part_closed",30.394621,59.785002,"local","snow","snow"
"51","collision",2019-01-04,2020-06-01 21:25:00,"petrograd",2,3,0,2,"part_closed",30.292246,59.973258,"local","snow","snow"
"52","collision",2019-01-04,2020-06-01 21:40:00,"kolpino",3,2,0,1,"part_closed",30.710853,59.772187,"local","wet","snow"
"53","hit_run",2019-01-04,2020-06-01 22:10:00,"kalin",3,4,0,1,"part_closed",30.378968,60.02344,"local","snow","clouds"
"54","obstacle_hit",2019-01-04,2020-06-01 22:20:00,"mosk",1,8,0,7,"open",30.320452,59.864298,"local","snow","snow"
"55","collision",2019-01-04,2020-06-01 22:20:00,"nevski",2,2,1,0,"part_closed",30.481439,59.869835,"local","snow","clouds"
"56","obstacle_hit",2019-01-04,2020-06-01 22:30:00,"nevski",1,1,0,1,"part_closed",30.418589,59.912267,"local","snow","clouds"
