"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"3219","Столкновение",2019-07-15,2020-06-01 18:30:00,"Выборгский район",2,2,0,1,"Режим движения не изменялся","30.34456","59.977956","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3220","Столкновение",2019-07-15,2020-06-01 20:03:00,"Красногвардейский район",3,4,0,2,"Движение частично перекрыто","30.47586","59.936709","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3221","Падение пассажира",2019-07-15,2020-06-01 20:10:00,"Невский район",1,2,0,1,"Режим движения не изменялся","30.484936","59.842853","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3222","Столкновение",2019-07-15,2020-06-01 20:20:00,"Красносельский район",2,3,0,1,"Режим движения не изменялся","30.194142","59.850355","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3223","Наезд на препятствие",2019-07-15,2020-06-01 20:35:00,"Пушкинский район",1,1,0,1,"Движение частично перекрыто","30.289907","59.725211","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3224","Наезд на велосипедиста",2019-07-15,2020-06-01 20:40:00,"Колпинский район",2,2,0,1,"Движение частично перекрыто","30.579232","59.753028","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3225","Столкновение",2019-07-15,2020-06-01 21:15:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.431957","60.030638","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3226","Наезд на велосипедиста",2019-07-15,2020-06-01 22:00:00,"Колпинский район",2,2,0,1,"Движение частично перекрыто","30.445332","59.829459","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3227","Столкновение",2019-07-15,2020-06-01 23:00:00,"Кировский район",2,3,0,2,"Режим движения не изменялся","30.278792","59.877874","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3228","Наезд на стоящее ТС",2019-07-15,2020-06-01 23:45:00,"Выборгский район",3,2,1,1,"Движение полностью перекрыто","30.380212","60.071131","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"3229","Наезд на препятствие",2019-07-16,2020-06-01 01:20:00,"Красногвардейский район",1,2,0,2,"Движение частично перекрыто","30.454316","59.939386","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"3230","Наезд на пешехода",2019-07-16,2020-06-01 08:45:00,"Выборгский район",1,2,0,1,"Движение частично перекрыто","30.368528","60.039801","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"3231","Столкновение",2019-07-16,2020-06-01 09:15:00,"Кировский район",2,2,0,1,"Режим движения не изменялся","30.259802","59.851788","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3232","Наезд на пешехода",2019-07-16,2020-06-01 11:00:00,"Красногвардейский район",1,2,0,1,"Движение частично перекрыто","30.497435","59.953517","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"3233","Наезд на пешехода",2019-07-16,2020-06-01 12:40:00,"Московский район",1,2,0,1,"Режим движения не изменялся","30.340129","59.852715","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3234","Наезд на велосипедиста",2019-07-16,2020-06-01 13:40:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.36458","59.985373","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3235","Столкновение",2019-07-16,2020-06-01 14:20:00,"Василеостровский район",3,6,0,4,"Режим движения не изменялся","30.245168","59.955569","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"3236","Наезд на пешехода",2019-07-16,2020-06-01 16:37:00,"Выборгский район",1,2,0,1,"Движение частично перекрыто","30.340623","60.066677","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"3237","Столкновение",2019-07-16,2020-06-01 17:00:00,"Невский район",2,2,0,1,"Режим движения не изменялся","30.392346","59.906253","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
