"","dtpv","date","time","district","kts","kuch","fatal","injury","driving_mode","latitude","longitude","road_cat","road_cond","weather_cond"
"1","Столкновение",2019-01-01,2020-06-01 00:50:00,"Василеостровский район",4,3,0,2,"Режим движения не изменялся","30.27169","59.946269","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Ясно "
"2","Столкновение",2019-01-01,2020-06-01 01:20:00,"Калининский район",2,4,0,2,"Движение частично перекрыто","30.435809","60.004345","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"3","Наезд на пешехода",2019-01-01,2020-06-01 02:35:00,"Кировский район",1,3,0,2,"Режим движения не изменялся","30.212874","59.833328","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"4","Столкновение",2019-01-01,2020-06-01 04:30:00,"Приморский район",2,3,0,1,"Движение частично перекрыто","30.130455","59.999329","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Загрязненное","Пасмурно "
"5","Столкновение",2019-01-01,2020-06-01 05:05:00,"Адмиралтейский район",3,3,0,1,"Режим движения не изменялся","30.318167","59.913369","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"6","Наезд на пешехода",2019-01-01,2020-06-01 05:10:00,"Кировский район",1,2,0,1,"Режим движения не изменялся","30.259953","59.87005","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"7","Наезд на пешехода",2019-01-01,2020-06-01 05:27:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.337265","59.947967","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"8","Наезд на препятствие",2019-01-01,2020-06-01 10:00:00,"Калининский район",1,3,1,2,"Движение частично перекрыто","30.411658","59.970649","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"9","Наезд на препятствие",2019-01-01,2020-06-01 12:45:00,"Красногвардейский район",3,3,0,2,"Движение частично перекрыто","30.457277","59.967825","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"10","Столкновение",2019-01-01,2020-06-01 13:30:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.210847","59.824269","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"11","Столкновение",2019-01-01,2020-06-01 13:40:00,"Фрунзенский район",2,3,0,1,"Режим движения не изменялся","30.420917","59.845057","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад","Сведения отсутствуют "
"12","Столкновение",2019-01-01,2020-06-01 13:45:00,"Красносельский район",2,2,0,1,"Движение частично перекрыто","30.175774","59.824123","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"13","Столкновение",2019-01-01,2020-06-01 14:04:00,"Невский район",2,3,0,1,"Движение частично перекрыто","30.444853","59.875683","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Снегопад"
"14","Наезд на пешехода",2019-01-01,2020-06-01 16:00:00,"Адмиралтейский район",1,2,0,1,"Режим движения не изменялся","30.301741","59.911508","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"15","Наезд на препятствие",2019-01-01,2020-06-01 16:10:00,"Кировский район",1,1,0,1,"Движение частично перекрыто","30.211887","59.824436","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"16","Столкновение",2019-01-01,2020-06-01 16:10:00,"Приморский район",2,3,0,1,"Движение частично перекрыто","30.316826","59.994587","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"17","Столкновение",2019-01-01,2020-06-01 16:16:00,"Московский район",2,3,0,1,"Движение частично перекрыто","30.314251","59.861675","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"18","Наезд на препятствие",2019-01-01,2020-06-01 18:00:00,"Петродворцовый район",1,2,0,1,"Режим движения не изменялся","29.900236","59.870416","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"19","Столкновение",2019-01-02,2020-06-01 03:50:00,"Калининский район",3,5,0,3,"Движение частично перекрыто","30.387465","60.027294","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"20","Столкновение",2019-01-02,2020-06-01 04:55:00,"Фрунзенский район",2,4,0,2,"Режим движения не изменялся","30.355933","59.873981","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"21","Наезд на пешехода",2019-01-02,2020-06-01 08:30:00,"Красногвардейский район",1,2,0,1,"Режим движения не изменялся","30.435948","59.933581","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"22","Столкновение",2019-01-02,2020-06-01 14:55:00,"Кировский район",3,4,0,1,"Движение частично перекрыто","30.213776","59.846534","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"23","Столкновение",2019-01-02,2020-06-01 18:40:00,"Приморский район",2,3,0,2,"Движение частично перекрыто","30.234568","60.037932","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"24","Наезд на пешехода",2019-01-02,2020-06-01 19:00:00,"Красносельский район",1,2,0,1,"Режим движения не изменялся","30.150894","59.790055","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"25","Столкновение",2019-01-02,2020-06-01 20:35:00,"Пушкинский район",2,3,0,2,"Режим движения не изменялся","30.450282","59.818433","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"26","Наезд на пешехода",2019-01-02,2020-06-01 21:10:00,"Фрунзенский район",1,2,0,1,"Режим движения не изменялся","30.388355","59.874644","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Снегопад "
"27","Столкновение",2019-01-02,2020-06-01 21:10:00,"Красносельский район",2,3,0,1,"Движение частично перекрыто","30.15467","59.846739","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"28","Столкновение",2019-01-02,2020-06-01 21:50:00,"Кировский район",2,3,0,2,"Движение частично перекрыто","30.246477","59.830341","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"29","Столкновение",2019-01-02,2020-06-01 22:15:00,"Выборгский район",2,2,0,1,"Движение частично перекрыто","30.322748","60.015612","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"30","Наезд на пешехода",2019-01-02,2020-06-01 22:20:00,"Выборгский район",1,2,0,1,"Движение частично перекрыто","30.319036","60.024635","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Снегопад"
"31","Наезд на препятствие",2019-01-02,2020-06-01 23:55:00,"Фрунзенский район",1,1,0,1,"Режим движения не изменялся","30.414319","59.837732","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Снегопад "
"32","Столкновение",2019-01-03,2020-06-01 01:00:00,"Центральный район",2,5,0,3,"Движение частично перекрыто","30.348766","59.946205","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад","Сведения отсутствуют "
"33","Столкновение",2019-01-03,2020-06-01 11:45:00,"Пушкинский район",3,3,0,1,"Движение частично перекрыто","30.378695","59.801763","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"34","Столкновение",2019-01-03,2020-06-01 13:00:00,"Красносельский район",2,2,0,1,"Движение частично перекрыто","30.175388","59.841064","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"35","Столкновение",2019-01-03,2020-06-01 13:05:00,"Центральный район",2,4,0,2,"Движение частично перекрыто","30.345011","59.916365","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"36","Наезд на пешехода",2019-01-03,2020-06-01 14:00:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.324143","59.929415","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"37","Столкновение",2019-01-03,2020-06-01 14:30:00,"Калининский район",2,3,0,1,"Движение частично перекрыто","30.368378","60.037358","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"38","Столкновение",2019-01-03,2020-06-01 15:50:00,"Невский район",3,4,0,1,"Движение частично перекрыто","30.514462","59.833883","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"39","Столкновение",2019-01-03,2020-06-01 16:40:00,"Красногвардейский район",2,2,0,1,"Движение частично перекрыто","30.466483","59.955676","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"40","Столкновение",2019-01-03,2020-06-01 20:00:00,"Кировский район",3,5,0,3,"Режим движения не изменялся","30.267302","59.878811","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"41","Столкновение",2019-01-03,2020-06-01 22:50:00,"Выборгский район",2,4,2,1,"Движение частично перекрыто","30.380341","60.052556","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"42","Наезд на пешехода",2019-01-04,2020-06-01 09:23:00,"Московский район",1,2,0,1,"Режим движения не изменялся","30.306644","59.843651","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Загрязненное","Пасмурно "
"43","Столкновение",2019-01-04,2020-06-01 18:00:00,"Выборгский район",2,3,0,1,"Движение частично перекрыто","30.252174","60.098991","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад","Сведения отсутствуют "
"44","Наезд на пешехода",2019-01-04,2020-06-01 18:50:00,"Пушкинский район",2,4,0,4,"Движение частично перекрыто","30.399224","59.778544","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"45","Наезд на пешехода",2019-01-04,2020-06-01 20:05:00,"Фрунзенский район",1,2,0,1,"Режим движения не изменялся","30.380352","59.871208","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад","Сведения отсутствуют "
"46","Столкновение",2019-01-04,2020-06-01 20:10:00,"Фрунзенский район",2,3,0,1,"Режим движения не изменялся","30.372359","59.878639","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Снегопад"
"47","Наезд на стоящее ТС",2019-01-04,2020-06-01 20:40:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.380641","60.033243","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"48","Наезд на препятствие",2019-01-04,2020-06-01 20:45:00,"Красносельский район",1,2,0,1,"Режим движения не изменялся","30.193595","59.845909","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"49","Столкновение",2019-01-04,2020-06-01 20:50:00,"Пушкинский район",3,3,0,1,"Движение частично перекрыто","30.562795","59.712876","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"50","Наезд на стоящее ТС",2019-01-04,2020-06-01 21:23:00,"Пушкинский район",2,3,0,1,"Движение частично перекрыто","30.394621","59.785002","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"51","Столкновение",2019-01-04,2020-06-01 21:25:00,"Петроградский район",2,3,0,2,"Движение частично перекрыто","30.292246","59.973258","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"52","Столкновение",2019-01-04,2020-06-01 21:40:00,"Колпинский район",3,2,0,1,"Движение частично перекрыто","30.710853","59.772187","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Снегопад "
"53","Наезд на стоящее ТС",2019-01-04,2020-06-01 22:10:00,"Калининский район",3,4,0,1,"Движение частично перекрыто","30.378968","60.02344","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад"," Пасмурно"
"54","Наезд на препятствие",2019-01-04,2020-06-01 22:20:00,"Московский район",1,8,0,7,"Режим движения не изменялся","30.320452","59.864298","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Снегопад "
"55","Столкновение",2019-01-04,2020-06-01 22:20:00,"Невский район",2,2,1,0,"Движение частично перекрыто","30.481439","59.869835","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад"," Пасмурно"
"56","Наезд на препятствие",2019-01-04,2020-06-01 22:30:00,"Невский район",1,1,0,1,"Движение частично перекрыто","30.418589","59.912267","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Снегопад"," Пасмурно"
"57","Наезд на препятствие",2019-01-04,2020-06-01 23:00:00,"Московский район",1,2,0,1,"Режим движения не изменялся","30.316054","59.841398","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"58","Наезд на препятствие",2019-01-04,2020-06-01 23:45:00,"Кировский район",1,1,0,1,"Режим движения не изменялся","30.28686","59.861373","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"59","Опрокидывание",2019-01-05,2020-06-01 00:20:00,"Выборгский район",1,1,0,1,"Движение частично перекрыто","30.336084","59.969328","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Ясно","Сведения отсутствуют "
"60","Столкновение",2019-01-05,2020-06-01 00:40:00,"Красногвардейский район",2,3,0,1,"Движение частично перекрыто","30.411894","59.929216","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"61","Съезд с дороги",2019-01-05,2020-06-01 03:20:00,"Калининский район",1,4,0,3,"Движение частично перекрыто","30.436152","60.004039","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"62","Наезд на препятствие",2019-01-05,2020-06-01 06:50:00,"Адмиралтейский район",1,1,0,1,"Движение частично перекрыто","30.260972","59.904429","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"63","Столкновение",2019-01-05,2020-06-01 07:15:00,"Выборгский район",4,5,0,2,"Движение частично перекрыто","30.24475","60.108275","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"64","Столкновение",2019-01-05,2020-06-01 11:40:00,"Московский район",3,4,0,1,"Движение частично перекрыто","30.294349","59.851988","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"65","Наезд на пешехода",2019-01-05,2020-06-01 12:00:00,"Курортный район",1,2,0,2,"Режим движения не изменялся","29.955683","60.092198","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"66","Столкновение",2019-01-05,2020-06-01 12:00:00,"Калининский район",2,2,0,1,"Движение частично перекрыто","30.379418","59.957401","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"67","Столкновение",2019-01-05,2020-06-01 12:35:00,"Выборгский район",2,5,0,4,"Движение частично перекрыто","30.226876","60.052856","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"68","Столкновение",2019-01-05,2020-06-01 14:45:00,"Московский район",2,3,0,1,"Движение частично перекрыто","30.314144","59.844858","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"69","Падение пассажира",2019-01-05,2020-06-01 15:34:00,"Курортный район",1,2,0,1,"Режим движения не изменялся","29.964041","60.076633","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"70","Наезд на пешехода",2019-01-05,2020-06-01 16:00:00,"Петродворцовый район",1,2,0,1,"Режим движения не изменялся","29.770943","59.915322","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно Снегопад"
"71","Наезд на пешехода",2019-01-05,2020-06-01 16:45:00,"Центральный район",1,2,0,1,"Режим движения не изменялся","30.347843","59.931329","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Пасмурно "
"72","Столкновение",2019-01-05,2020-06-01 22:00:00,"Невский район",3,4,0,2,"Движение частично перекрыто","30.488777","59.90026","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"73","Наезд на препятствие",2019-01-06,2020-06-01 02:20:00,"Калининский район",1,2,0,1,"Движение частично перекрыто","30.382873","59.966407","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Пасмурно","Сведения отсутствуют "
"74","Наезд на пешехода",2019-01-06,2020-06-01 07:57:00,"Московский район",1,2,0,1,"Движение частично перекрыто","30.319895","59.888738","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Сухое","Ясно "
"75","Столкновение",2019-01-06,2020-06-01 12:55:00,"Невский район",2,2,0,1,"Движение частично перекрыто","30.435841","59.895347","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"76","Наезд на пешехода",2019-01-06,2020-06-01 18:05:00,"Центральный район",1,2,0,1,"Движение частично перекрыто","30.357971","59.926523","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"77","Наезд на пешехода",2019-01-06,2020-06-01 18:20:00,"Приморский район",1,2,0,1,"Режим движения не изменялся","30.228388","60.017231","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"78","Наезд на стоящее ТС",2019-01-06,2020-06-01 18:30:00,"Московский район",2,2,0,1,"Движение частично перекрыто","30.345654","59.852435","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"79","Наезд на пешехода",2019-01-06,2020-06-01 19:00:00,"Выборгский район",1,2,0,1,"Режим движения не изменялся","30.347307","60.039839","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Снегопад"
"80","Столкновение",2019-01-06,2020-06-01 22:45:00,"Калининский район",2,3,0,1,"Движение частично перекрыто","30.397711","59.971562","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"81","Наезд на стоящее ТС",2019-01-06,2020-06-01 22:46:00,"Фрунзенский район",2,3,0,1,"Режим движения не изменялся","30.35354","59.897241","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"82","Столкновение",2019-01-07,2020-06-01 00:40:00,"Выборгский район",2,3,0,1,"Движение частично перекрыто","30.303426","60.062372","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Пасмурно"
"83","Наезд на пешехода",2019-01-07,2020-06-01 01:50:00,"Калининский район",1,2,0,1,"Движение частично перекрыто","30.391252","60.048341","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Заснеженное","Ясно "
"84","Столкновение",2019-01-07,2020-06-01 07:45:00,"Московский район",2,4,0,4,"Движение частично перекрыто","30.339818","59.90154","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"85","Столкновение",2019-01-07,2020-06-01 11:20:00,"Курортный район",2,5,0,5,"Движение частично перекрыто","30.037565","60.138898","Региональная или межмуниципальная (дорога регионального или межмуниципального значения)","Заснеженное","Снегопад "
"86","Столкновение",2019-01-07,2020-06-01 12:20:00,"Московский район",3,3,0,1,"Движение частично перекрыто","30.337415","59.855053","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)",""," Ясно"
"87","Наезд на препятствие",2019-01-07,2020-06-01 14:07:00,"Выборгский район",1,2,0,2,"Движение частично перекрыто","30.136871","60.069916","Частная (дорога, относящиеся к частной и иным формам собственности)","Обработанное противогололедными материалами","Пасмурно "
"88","Наезд на стоящее ТС",2019-01-07,2020-06-01 16:20:00,"Красносельский район",2,2,0,1,"Движение частично перекрыто","30.10668","59.75472","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"89","Столкновение",2019-01-07,2020-06-01 16:50:00,"Кировский район",2,2,0,1,"Движение частично перекрыто","30.256315","59.851804","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Пасмурно "
"90","Столкновение",2019-01-07,2020-06-01 19:57:00,"Московский район",2,3,0,1,"Режим движения не изменялся","30.363829","59.849843","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Мокрое","Пасмурно "
"91","Столкновение",2019-01-07,2020-06-01 20:15:00,"Петродворцовый район",2,2,0,1,"Движение частично перекрыто","29.766362","59.910535","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Со снежным накатом","Снегопад "
"92","Столкновение",2019-01-07,2020-06-01 20:20:00,"Колпинский район",2,3,0,1,"Движение частично перекрыто","30.5948","59.7866","Местного значения (дорога местного значения, включая относящиеся к собственности поселений, муниципальных районов, городских округов)","Обработанное противогололедными материалами","Снегопад "
